Location,State,Year,Race,Population
Alabama,AL,2015,W,3129100
Alaska,AK,2015,W,437700
Arizona,AZ,2015,W,3696900
Arkansas,AR,2015,W,2119500
California,CA,2015,W,14533900
Colorado,CO,2015,W,3600200
Connecticut,CT,2015,W,2394300
Delaware,DE,2015,W,578400
District of Columbia,DC,2015,W,220500
Florida,FL,2015,W,10815800
Georgia,GA,2015,W,5334800
Hawaii,HI,2015,W,291900
Idaho,ID,2015,W,1325000
Illinois,IL,2015,W,7834100
Indiana,IN,2015,W,5138400
Iowa,IA,2015,W,2620800
Kansas,KS,2015,W,2164000
Kentucky,KY,2015,W,3660900
Louisiana,LA,2015,W,2686700
Maine,ME,2015,W,1213700
Maryland,MD,2015,W,3053700
Massachusetts,MA,2015,W,4811900
Michigan,MI,2015,W,7358500
Minnesota,MN,2015,W,4342500
Mississippi,MS,2015,W,1664000
Missouri,MO,2015,W,4705300
Montana,MT,2015,W,864300
Nebraska,NE,2015,W,1470000
Nevada,NV,2015,W,1435800
New Hampshire,NH,2015,W,1174900
New Jersey,NJ,2015,W,4969400
New Mexico,NM,2015,W,788200
New York,NY,2015,W,10836700
North Carolina,NC,2015,W,6178500
North Dakota,ND,2015,W,616200
Ohio,OH,2015,W,9045100
Oklahoma,OK,2015,W,2518200
Oregon,OR,2015,W,2996700
Pennsylvania,PA,2015,W,9659000
Rhode Island,RI,2015,W,751600
South Carolina,SC,2015,W,2995500
South Dakota,SD,2015,W,686400
Tennessee,TN,2015,W,4766200
Texas,TX,2015,W,11417900
Utah,UT,2015,W,2296400
Vermont,VT,2015,W,560600
Virginia,VA,2015,W,5052100
Washington,WA,2015,W,4844800
West Virginia,WV,2015,W,1665200
Wisconsin,WI,2015,W,4618400
Wyoming,WY,2015,W,479100
Alabama,AL,2019,W,3115600
Alaska,AK,2019,W,426100
Arizona,AZ,2019,W,3815100
Arkansas,AR,2019,W,2110400
California,CA,2019,W,14206900
Colorado,CO,2019,W,3774700
Connecticut,CT,2019,W,2298100
Delaware,DE,2019,W,582600
District of Columbia,DC,2019,W,244800
Florida,FL,2019,W,11101600
Georgia,GA,2019,W,5358000
Hawaii,HI,2019,W,278500
Idaho,ID,2019,W,1407600
Illinois,IL,2019,W,7588300
Indiana,IN,2019,W,5121300
Iowa,IA,2019,W,2614600
Kansas,KS,2019,W,2137700
Kentucky,KY,2019,W,3664300
Louisiana,LA,2019,W,2658300
Maine,ME,2019,W,1213400
Maryland,MD,2019,W,2953400
Massachusetts,MA,2019,W,4717100
Michigan,MI,2019,W,7327100
Minnesota,MN,2019,W,4370100
Mississippi,MS,2019,W,1633600
Missouri,MO,2019,W,4719400
Montana,MT,2019,W,890100
Nebraska,NE,2019,W,1470100
Nevada,NV,2019,W,1447500
New Hampshire,NH,2019,W,1181500
New Jersey,NJ,2019,W,4776900
New Mexico,NM,2019,W,754700
New York,NY,2019,W,10508500
North Carolina,NC,2019,W,6314100
North Dakota,ND,2019,W,613100
Ohio,OH,2019,W,8947700
Oklahoma,OK,2019,W,2492200
Oregon,OR,2019,W,3091900
Pennsylvania,PA,2019,W,9447800
Rhode Island,RI,2019,W,725400
South Carolina,SC,2019,W,3146900
South Dakota,SD,2019,W,692900
Tennessee,TN,2019,W,4860100
Texas,TX,2019,W,11607500
Utah,UT,2019,W,2421400
Vermont,VT,2019,W,557900
Virginia,VA,2019,W,5034100
Washington,WA,2019,W,5006200
West Virginia,WV,2019,W,1620000
Wisconsin,WI,2019,W,4598500
Wyoming,WY,2019,W,471600
Alabama,AL,2015,B,1241500
Alaska,AK,2015,B,21000
Arizona,AZ,2015,B,256900
Arkansas,AR,2015,B,441900
California,CA,2015,B,2044300
Colorado,CO,2015,B,194200
Connecticut,CT,2015,B,331100
Delaware,DE,2015,B,190300
District of Columbia,DC,2015,B,300300
Florida,FL,2015,B,2965100
Georgia,GA,2015,B,2992700
Hawaii,HI,2015,B,22600
Idaho,ID,2015,B,8000
Illinois,IL,2015,B,1736700
Indiana,IN,2015,B,579500
Iowa,IA,2015,B,100300
Kansas,KS,2015,B,151100
Kentucky,KY,2015,B,318400
Louisiana,LA,2015,B,1438500
Maine,ME,2015,B,15600
Maryland,MD,2015,B,1693500
Massachusetts,MA,2015,B,420500
Michigan,MI,2015,B,1312600
Minnesota,MN,2015,B,299100
Mississippi,MS,2015,B,1081800
Missouri,MO,2015,B,668300
Montana,MT,2015,B,4700
Nebraska,NE,2015,B,82900
Nevada,NV,2015,B,223000
New Hampshire,NH,2015,B,13900
New Jersey,NJ,2015,B,1096900
New Mexico,NM,2015,B,34300
New York,NY,2015,B,2744600
North Carolina,NC,2015,B,2047800
North Dakota,ND,2015,B,14300
Ohio,OH,2015,B,1347200
Oklahoma,OK,2015,B,263900
Oregon,OR,2015,B,64200
Pennsylvania,PA,2015,B,1286300
Rhode Island,RI,2015,B,54900
South Carolina,SC,2015,B,1266700
South Dakota,SD,2015,B,12500
Tennessee,TN,2015,B,1053600
Texas,TX,2015,B,3005800
Utah,UT,2015,B,29900
Vermont,VT,2015,B,5300
Virginia,VA,2015,B,1496200
Washington,WA,2015,B,226300
West Virginia,WV,2015,B,62000
Wisconsin,WI,2015,B,330700
Wyoming,WY,2015,B,6000
Alabama,AL,2019,B,1257300
Alaska,AK,2019,B,20700
Arizona,AZ,2019,B,297000
Arkansas,AR,2019,B,436900
California,CA,2019,B,2074900
Colorado,CO,2019,B,212200
Connecticut,CT,2019,B,343000
Delaware,DE,2019,B,199900
District of Columbia,DC,2019,B,299900
Florida,FL,2019,B,3141700
Georgia,GA,2019,B,3158000
Hawaii,HI,2019,B,20400
Idaho,ID,2019,B,9300
Illinois,IL,2019,B,1685200
Indiana,IN,2019,B,600600
Iowa,IA,2019,B,102300
Kansas,KS,2019,B,150700
Kentucky,KY,2019,B,328400
Louisiana,LA,2019,B,1429700
Maine,ME,2019,B,17400
Maryland,MD,2019,B,1720400
Massachusetts,MA,2019,B,465500
Michigan,MI,2019,B,1321900
Minnesota,MN,2019,B,356100
Mississippi,MS,2019,B,1084700
Missouri,MO,2019,B,670600
Montana,MT,2019,B,3700
Nebraska,NE,2019,B,82100
Nevada,NV,2019,B,258700
New Hampshire,NH,2019,B,14600
New Jersey,NJ,2019,B,1100300
New Mexico,NM,2019,B,37100
New York,NY,2019,B,2684400
North Carolina,NC,2019,B,2095600
North Dakota,ND,2019,B,22200
Ohio,OH,2019,B,1376200
Oklahoma,OK,2019,B,267700
Oregon,OR,2019,B,74300
Pennsylvania,PA,2019,B,1274800
Rhode Island,RI,2019,B,57000
South Carolina,SC,2019,B,1298200
South Dakota,SD,2019,B,18500
Tennessee,TN,2019,B,1087600
Texas,TX,2019,B,3251900
Utah,UT,2019,B,35800
Vermont,VT,2019,B,6600
Virginia,VA,2019,B,1519400
Washington,WA,2019,B,268700
West Virginia,WV,2019,B,63300
